rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,112500.0,FALL,1500.0,0.0131578947,,False
2,0,A005930,KR7005930003,삼성전자,78300.0,FALL,500.0,0.0063451777,,False
3,0,A249420,KR7249420001,일동제약,33600.0,RISE,3300.0,0.1089108911,,False
4,0,A095500,KR7095500005,미래나노텍,8330.0,RISE,890.0,0.1196236559,,False
5,2,A011785,KR7011781002,금호석유우,107000.0,FALL,4500.0,0.0403587444,,False
6,2,A094360,KR7094360005,칩스앤미디어,23700.0,FALL,300.0,0.0125,,False
7,-1,A051380,KR7051380004,피씨디렉트,21400.0,RISE,50.0,0.0023419204,,False
8,-3,A053800,KR7053800009,안랩,98900.0,RISE,17500.0,0.214987715,,False
9,1,A068270,KR7068270008,셀트리온,198000.0,FALL,3000.0,0.0149253731,,False
10,-1,A000660,KR7000660001,SK하이닉스,131000.0,RISE,4000.0,0.031496063,,False
